location,company,title,salary,city,company_id,index
"Austin, TX 78716",UnitedHealth Group,Principle Data Analyst,Unknown,Austin,326,811
"Austin, TX 78754",GasPedal,Industry Analyst -- Data Science and Strategy,Unknown,Austin,672,812
"Austin, TX",ARK Solutions,Junior Data Analyst/Data Entry/Federal Data Entry,Unknown,Austin,673,813
"Austin, TX 78754",Health & Human Services Comm,Data Analyst,"$4,023 - $6,579 a month",Austin,674,814
"Austin, TX 78751 (Triangle State area)",Dept of Family & Protectve Svc,Data Analyst,"$4,599 - $6,400 a month",Austin,675,815
"Austin, TX 78702 (Central East Austin area)","Spruce Services, Inc",Data Engineer,"$95,000 - $120,000 a year",Austin,669,816
"Austin, TX",Facebook,"Data Analyst, Law Enforcement Response Team",Unknown,Austin,260,817
"Austin, TX (East Oak Hill area)",Health & Human Services Comm,Junior Data Analyst,"$3,293 - $5,371 a month",Austin,674,818
 Los Angeles,Teacher Retirement System of Texas,Business Intelligence and Data Analyst,Unknown, Los Angeles,676,819
 Los Angeles,Sellers Shield,Data Analyst,Unknown, Los Angeles,677,820
"Austin, TX 78744 (Southeast area)",OFFICE OF INJURED EMPLOYEE COUNSEL,OIEC - Data Reporting Analyst (Prog Spec II),"$4,167 a month",Austin,678,821
"Austin, TX",MVPindex,"Associate Insights Analyst, Marketing",Unknown,Austin,679,822
"Austin, TX",SubjectWell,Data Scientist,Unknown,Austin,680,823
"Austin, TX 78746",Sellers Shield,Data Analyst,Unknown,Austin,677,824
"Austin, TX",Apple,Product Insights Analyst,Unknown,Austin,681,825
"Austin, TX",132 ENG Inc.,Data Analyst,Unknown,Austin,77,826
"Austin, TX","Advanced Micro Devices, Inc.",Business Analyst - 79396,Unknown,Austin,682,827
"Austin, TX",Fusion Technical Solutions,Associate Business Analyst,Unknown,Austin,683,828
"Austin, TX 78759 (North Burnett area)",TransPerfect,TransPerfect is recruiting professionals for an immediate short term Data entry/Redaction project.,$26 an hour,Austin,297,829
"Austin, TX",Zynga,Data Analyst,Unknown,Austin,684,830
"Austin, TX",TaskRabbit,"Data Analyst, Trust & Safety",Unknown,Austin,685,831
"Austin, TX",Hagerty Consulting,Data Analyst,Unknown,Austin,568,832
"Austin, TX",Healthgrades,Data Quality Analyst,Unknown,Austin,686,833
"Austin, TX 78717",Cigna,Financial Analysis Analyst,Unknown,Austin,687,834
"Austin, TX",Facebook,Supplier Enablement Analyst - Procure-to-Pay,Unknown,Austin,260,835
"Austin, TX 78746",Alliant Insurance Services,Benefits Analyst I,Unknown,Austin,688,836
"Austin, TX 78712 (University of Texas area)",University of Texas at Austin,Football Analyst,Unknown,Austin,689,837
"Austin, TX 78729",Q2ebanking,Data Migration Analyst,Unknown,Austin,690,838
"Austin, TX",Facebook,Sourcing Analyst,Unknown,Austin,260,839
"Austin, TX 73301 (St Edwards area)",Softvision - North America,Technical Business Analyst,Unknown,Austin,691,840
"Austin, TX 78749 (East Oak Hill area)",Texas Windstorm Insurance Association,QA Analyst - Data Warehouse,Unknown,Austin,693,842
"Austin, TX",Facebook,Employment Law & Investigations Analyst,Unknown,Austin,260,843
"Austin, TX",Ascension Technologies,Clinical Data Management - Technical Analyst,Unknown,Austin,694,844
"Austin, TX",Healthgrades,Senior Claims Data Analyst,Unknown,Austin,686,846
"Austin, TX 78759 (Arboretum area)",Forcepoint,Business Analyst,Unknown,Austin,696,847
"Austin, TX 78702 (Rosewood area)",Show Me Leads,Marketing Data Analyst,Unknown,Austin,650,848
"Austin, TX 78701 (Downtown area)",TEXAS EDUCATION AGENCY,TSDS Data QA Analyst (Data Analyst IV),"$4,917 - $6,667 a month",Austin,697,849
"Austin, TX 78701 (Downtown area)",Buc-ee's Ltd,"Category Analyst - Pkg Beverages/Non-Alcohol GREAT PAY! GREAT BENEFITS! AUSTIN, TX OPPORTUNITY!",Unknown,Austin,699,851
"Austin, TX 78702 (Upper Boggy Creek area)",United Way for Greater Austin,Data Management Intern (unpaid),Unknown,Austin,702,855
"Austin, TX 78731",Iris Plans Inc.,Senior Data Analyst,Unknown,Austin,703,856
"Austin, TX 78746",BazaarVoice,Client Success Operations Analyst,Unknown,Austin,704,857
"Austin, TX 78701 (Downtown area)",TEXAS EDUCATION AGENCY,"Associate, Strategy and Operations (Data Analyst IV)","$4,917 - $6,489 a month",Austin,697,859
"Austin, TX",HORNE LLP,Data Analyst,Unknown,Austin,706,860
"Austin, TX",Ascension Technologies,Technical Data Analyst,Unknown,Austin,694,861
"Austin, TX 78701 (Downtown area)",Texas Department of Transportation,Strategic Data Analyst III - Strategic Planning Divsion,"$59,004 - $96,720 a year",Austin,707,862
"Austin, TX 78750",Baylor Scott & White Health,Business Analyst - SWHP,Unknown,Austin,708,863
"Austin, TX",B.well Connected Health,Payment Integrity Data Analyst,Unknown,Austin,709,864
 Los Angeles,Texas Association of Counties,Financial Analyst,Unknown, Los Angeles,710,865
 Los Angeles,OneAuth,Technical Business Analyst - Workday HCM,$60 - $70 an hour, Los Angeles,670,866
"Austin, TX 78751 (Triangle State area)",Health & Human Services Comm,Business Analyst III,"$4,917 - $8,060 a month",Austin,674,868
"Austin, TX 78758 (North Burnett area)",Central Health,Business Intelligence Manager,Unknown,Austin,712,869
"Austin, TX",HORNE LLP,Business Analyst,Unknown,Austin,706,870
"Austin, TX",eBay Inc.,Investments Treasury Analyst,Unknown,Austin,714,872
"Austin, TX 78731",Indeed,International Product Analyst- Canada,"$56,000 - $72,000 a year",Austin,715,873
"Austin, TX 78731",Indeed,International Product Analyst- France,"$56,000 - $72,000 a year",Austin,715,874
"Austin, TX",General Dynamics Information Technology,Sr. Business Analyst,Unknown,Austin,716,875
"Austin, TX",LPL Financial,Sr Business Analyst,Unknown,Austin,717,876
"Austin, TX",Pinkus Partners,Business Analyst,Unknown,Austin,718,877
"Austin, TX 78731 (Rosedale area)",Texas Department of Transportation,Transportation Program Division Business Analyst II,"$51,614 - $84,479 a year",Austin,707,880
"Austin, TX 78759 (North Shoal Creek area)",UFCU,Senior Business Analyst,Unknown,Austin,721,881
"Austin, TX",Apple,"Senior Data Analyst, Ad Platforms",Unknown,Austin,681,883
"Austin, TX 78759 (North Shoal Creek area)",UFCU,Data Warehouse Analyst,Unknown,Austin,721,884
"Austin, TX",Booz Allen Hamilton,"Data Analyst, Lead",Unknown,Austin,723,885
"Austin, TX 78757 (North Shoal Creek area)",Pain Specialist of America LLC,Healthcare Analyst,Unknown,Austin,724,886
"Austin, TX","Ishpi Information Technologies, Inc",Junior Data Warehouse Analyst,Unknown,Austin,725,887
"Austin, TX",Tek9 Solutions,Business Analyst,Unknown,Austin,727,889
"Austin, TX 78701 (Downtown area)",Travis County,Business Analyst III,"$72,862 - $85,987 a year",Austin,728,890
"Austin, TX",US Department of Veterans Affairs,Program Analyst,"$92,977 - $120,874 a year",Austin,383,891
 Los Angeles,"Universal Screen Arts, Inc.",Business & Liquidation Analyst,"$40,000 - $60,000 a year", Los Angeles,729,892
 Los Angeles,ITI Data,Ab Initio Data Engineer,Unknown, Los Angeles,730,893
 Los Angeles,PNC Financial Services Group,Portfolio Analytics & Strategy Analyst Sr -. Loan Loss Reserve. -,Unknown, Los Angeles,731,894
"Washington, PA 15301",County of Washington,Data Analyst II,$17.88 an hour,Washington,733,896
 Los Angeles,"BCHH, Inc.",Escrow Accounting Analyst,Unknown, Los Angeles,741,905
 Los Angeles,"BSI Financial Services, Inc",Credit Reporting Analyst,$13 an hour, Los Angeles,742,906
 Los Angeles,PNC Financial Services Group,PrtfolioAnl&Stra Analyst Sr,Unknown, Los Angeles,731,917
 Los Angeles,"YinzCam, Inc.",Senior Data Analyst,Unknown, Los Angeles,737,918
 Los Angeles,PNC Financial Services Group,Business Analysis Manager-IT,Unknown, Los Angeles,731,929
 Los Angeles,PNC Financial Services Group,Detection & Investigation Analyst Sr. - Zelle Fraud,Unknown, Los Angeles,731,950
 Los Angeles,Starr and Associates,Data Analyst,"$80,000 - $106,242 a year", Los Angeles,779,974
 Los Angeles,Confidential - Structured Asset Finance,Data Analyst,Unknown, Los Angeles,780,975
 Los Angeles,Search America,Sr. Credit Analyst,"$80,000 - $100,000 a year", Los Angeles,781,976
 Los Angeles,Altium Packaging,Freight Accounting Analyst,Unknown, Los Angeles,782,977
"Alpharetta, GA",Jernel Technology Corporation,Full-time job opportunity for Data Analyst with Immigration Support,"$55,000 - $60,000 a year",Alpharetta,784,981
 Los Angeles,Uline,Operations Analyst,Unknown, Los Angeles,564,988
 Los Angeles,"Project Verte, Inc.",Business Analyst,"$65,000 - $75,000 a year", Los Angeles,791,989
"Alpharetta, GA 30005",Mediacurrent,Digital Analyst (US-based telecommute position),Unknown,Alpharetta,795,994
"Alpharetta, GA",Clarity USA,Data Analyst,Unknown,Alpharetta,796,996
 Los Angeles,Distribution Cooperative Inc,Inventory Control Analyst,Unknown, Los Angeles,806,1010
 Los Angeles,Clear Nexus Inc,Credit Risk Analyst,"$35,000 - $50,000 a year", Los Angeles,810,1016
 Los Angeles,Cloudious LLC,Data security Voltage Architect,Unknown, Los Angeles,816,1023
 Los Angeles,Tolteca Foodservice,Operations Analyst,Unknown, Los Angeles,817,1024
"Alpharetta, GA 30004","Perficient, Inc",Business Analyst,Unknown,Alpharetta,830,1039
"Alpharetta, GA","Fiserv, Inc.",Financial Analyst,Unknown,Alpharetta,831,1040
 Los Angeles,Anthem,Actuarial Analyst III (Cost of Care) - PS33739,"$77,280 - $115,920 a year", Los Angeles,839,1050
 Los Angeles,Ross Technology,IT Data Analyst,"$65,000 - $75,000 a year", Los Angeles,840,1051
 Los Angeles,Cambridge Solutions,Non-IT Pharmaceutical Business Analyst,$20 - $35 an hour, Los Angeles,841,1052
 Los Angeles,Wells Fargo Bank,Analytic Consultant 4,Unknown, Los Angeles,842,1053
 Los Angeles,Visual Connections LLC,Data Analyst I (Jr),"$52,000 - $55,000 a year", Los Angeles,850,1064
 Los Angeles,"Renaissance Associates, Ltd.",Intelligence Analyst,"$50,000 - $100,000 a year", Los Angeles,851,1065
 Los Angeles,FOCO,Sales Operations Analyst - Entry Level,Unknown, Los Angeles,861,1076
 Los Angeles,IKEA,Customer Engagement & Loyalty Analyst,Unknown, Los Angeles,862,1077
 Los Angeles,Touch of Color Flooring,Work Order Analyst,Unknown, Los Angeles,863,1078
 Los Angeles,Auxilior Capital Partners,Senior Credit Analyst,"$65,000 - $75,000 a year", Los Angeles,864,1079
 Los Angeles,VIRTUA,Investigation Data Analyst - Privacy / HIPAA exp. required,Unknown, Los Angeles,883,1100
