"Austin, TX",Sasquatch Talent,Data Scientist-NLP,"$115,000 - $135,000 a year",
"Austin, TX",FEDDATA,Data Scientist,,4.3
"Austin, TX",Apple,"Data Scientist, Ad Platforms/Data Insights",,4.2
"Austin, TX 78759 (North Shoal Creek area)","Signature Science, LLC",Data Scientist (ML and Image Processing),,3.1
"Austin, TX",Facebook,"Data Scientist, Product Analytics",,4.2
"Austin, TX 73301 (St Edwards area)",Thrivent Financial,Data Scientist (remote),,3.9
,"Perceptronics Solutions, Inc",AI/Machine Learning Research Scientist,,
,Brinks Home Security™,Data Scientist,"$90,000 - $98,000 a year",3.4
,BICP,"Data Engineer, Machine Learning","$150,000 - $160,000 a year",5.0
,Rotoplas USA,Data Scientist,,
"Dallas, TX",Cloudbigdata Technologies,Entry level Data Scientist,,
"Dallas, TX",Pilot Flying J,Data Scientist,,3.3
"Westlake, TX 76262",Charles Schwab Inc.,Junior Data Scientist,,4.0
"Dallas, TX 75201 (City Center District area)",BrightPoint Solutions,Data Scientist,"$75,406 - $158,767 a year",
"Dallas, TX 75390 (Near East area)",UT Southwestern Medical Center,Data Scientist,"$50,000 - $95,000 a year",
"Carrollton, TX 75010",AmerisourceBergen,Data Scientist,,3.4
"Fort Worth, TX 76101 (Downtown area)",Thrivent Financial,Data Scientist (remote),,3.9
"Plano, TX 75025",Alagar,Data Scientist,,
"Farmers Branch, TX 75234",Brinks Home Security,Data Scientist,,3.4
"Waco, TX",Texas Farm Bureau Casualty Insurance Company,Data Scientist,,
"Irving, TX 75038 (Cottonwood area)",Cottonwood Financial,Data Scientist,"$75,200 a year",2.6
"Richardson, TX 75080",Lennox International,Data Scientist I,,3.3
,Soaren Management,Data Scientist,,4.1
,Brooksource,Data Scientist,"$90,000 - $100,000 a year",3.8
,Parker and Lynch,Data Scientist,,3.2
"Phoenix, AZ",Pearson,Data Scientist,,3.8
"Scottsdale, AZ 85254 (Paradise Valley area)",Soaren Management,Data Scientist,,4.1
"Gilbert, AZ 85296",Town of Gilbert,Economic Development Data Scientist I,"$70,381 - $105,571 a year",2.9
"Phoenix, AZ",Youth Power Technosoft LLC,Data Scientist,$45 - $50 an hour,
"Phoenix, AZ",Sciata,Data Scientist,,
"Phoenix, AZ",Impetus Technologies,Associate Data Scientist,,4.1
"Scottsdale, AZ",Discount Tire Corporate Careers,Principal Data Scientist,,4.0
"Phoenix, AZ",State of Arizona,Senior Data Analyst,Up to $29.33 an hour,3.5
"Phoenix, AZ 85004 (Central City area)",Scientific Technologies Corporation,Data Scientist / Data Modeler,,3.3
"Tempe, AZ 85281",Shutterfly,Sr. Data Scientist II,,3.8
,"Perceptronics Solutions, Inc",AI/Machine Learning Research Scientist,,
