"Baton Rouge, LA",LSU-Baton Rouge,"POLICE OFFICER 1A, 2A, or 3A","$2,520 - $4,472 a month",4.1
"Baton Rouge, LA",Amazon.com Services LLC,"Shift Assistant,Operations",,3.6
,SCCS.INC,In-Home Sales & Service Technicians,,
,U.S. Customs and Border Protection,Border Patrol Agent,,4.1
,Baton Rouge Cardiology Center,Medical Receptionist,$10 - $13 an hour,3.3
,Brown Eagle Contractors,Logistics Clerk,$17 - $19 an hour,3.5
,Brothers Services Company,Landscape & Lawncare Technician,$10 - $15 an hour,3.2
,Ascension Credit Union,Part-Time Teller,$11 - $14 an hour,3.1
,Southern Marsh Collection,Accounts Receivable Accountant,"$47,000 - $50,000 a year",3.4
,United Medical Rehabilitation Hospital,Health Information Coordinator,$15 - $18 an hour,2.7
"New Orleans, LA",Federal Bureau of Investigation,Special Agent,"$62,556 - $80,721 a year",4.3
"Baton Rouge, LA",Louisiana State University,Guard,,4.1
"Port Allen, LA",Worley,Packing & Shiipping,,3.9
"Baton Rouge, LA",St. Patrick's Episcopal Day School,Teacher's Aide,$8.00 - $9.25 an hour,
"Baton Rouge, LA 70809 (Drusilla area)","The Medve Group, Inc.",Leasing Superstar Needed,$15 an hour,3.2
"New Orleans, LA",Ollikki,Call Center,$12 - $24 an hour,
"Baton Rouge, LA",Creative Children Leaning Center,Child Care Director / Child care providers,,
"Baton Rouge, LA",State of Louisiana,CRIME LABORATORY ANALYST 1-2,"$3,264 - $5,720 a month",3.5
"Livingston, LA 70754",PepsiCo,Merchandiser (FT/Days),$17.85 an hour,3.8
"Baton Rouge, LA",State of Louisiana,WORKFORCE DEVELOPMENT SPECIALIST 4/CSBG,"$3,300 - $6,497 a month",3.5
,IBERIA GENERAL HOSPITAL & MEDICAL,Physician Practice Specialist - Physician's Office - Part time,,
,U.S. Customs and Border Protection,Border Patrol Agent,,4.1
,Baton Rouge Cardiology Center,Medical Receptionist,$10 - $13 an hour,3.3
"Baton Rouge, LA 70810 (Mayfair area)",TRIO Eyecare,Optical/ Medical Receptionist,$13 - $15 an hour,
"Baton Rouge, LA",State of Louisiana,TRADES APPRENTICE,"$2,018 - $3,618 a month",3.5
"Baton Rouge, LA 70809",General Health System (Baton Rouge General Med. Ct...,Courier,,
"Baton Rouge, LA 70801",MOCKLER BEVERAGE CO A LP,Warehouse - Order Selector,"$45,000 - $55,000 a year",
